"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates an expense via API, simulates backend write to SQLite, verifies data integrity across layers, and cleans up.","270","API → DB: Create expense via API and verify in SQLite","tests.api","2026-05-10","passed","2026-05-10","TestDBAPI","test_db_api_expense","",""
"Verifies that the total expenses are updated correctly, and that the new record can be isolated using set theory (Set Difference).","2154","E2E_05: API & DB Data Integrity: Set Theory & ACID","tests.api","2026-05-10","passed","2026-05-10","TestE2EApiDb","test_e2e_api_db_expense","",""
"Creates an expense with a 300-character name via Web UI. The UI accepts it without limit. Then attempts to INSERT into MySQL where expense_name is VARCHAR(255) — expecting truncation or rejection. Severity: Medium — silent data loss if DB truncates without error.","5654","E2E Boundary: 300-char expense name exceeds MySQL VARCHAR(255)","tests","2026-05-10","passed","2026-05-10","TestE2ENegativeAmount","test_e2e_negative_amount","",""
"","7913","test_e2e_complete_lifecycle_bulletproof","tests.web","2026-05-10","passed","2026-05-10","TestE2ELifecycleWeb","test_e2e_web_expense","",""
"Fetches real-time EUR to USD conversion rate via API, calculates the expense, and adds it","6581","Verify expense creation with real-time API conversion","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Adds an expense, reloads the page, and verifies the expense is still displayed (checks LocalStorage)","6818","Verify data persistence after page reload","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Injects a record directly into SQLite and verifies that the API returns it. Verifies that the API reads the data from the DB correctly.","2111","E2E_02: DB → API | INSERT in SQLite is readable via GET","tests.api","2026-05-10","passed","2026-05-10","TestE2EApiDb","test_e2e_api_db_expense","",""
"Attempting to retrieve a deleted expense and getting a 404 error","14","API_07: Negative - Get Deleted Expense","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","34","API_03: Data Driven Testing (Multiple Items)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","28","API_03: Data Driven Testing (Multiple Items)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Adds a temporary expense, clicks its delete button, and verifies it is removed from the list","6300","Verify deletion of an expense","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Creates an expense on the web UI, reads it back from the DOM elements, then POSTs to JSON server and INSERTs to SQLite using the extracted data.","7442","E2E: Web UI → Extract Data → Insert to API + DB","tests","2026-05-10","passed","2026-05-10","TestE2EWebApiDbExpenseTracker","test_e2e_web_api_db","",""
"Intentionally fails to demonstrate the global AI error analysis hook","3047","AI Failure Analysis Test (Global Hook Demo)","tests.web","2026-05-10","skipped","2026-05-10","TestWeb","test_web_expense","",""
"End-to-end flow: creates an expense with all fields, verifies it appears in the list, deletes it, then verifies it is no longer visible.","36719","E2E: Full CRUD lifecycle — create, verify, delete, verify removal","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"This test verifies that adding new expenses properly increases the total number of items in the DOM","10498","Verify expense list count","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Data-Driven Testing: parametrized test that creates 4 different expenses from external JSON file. Each combination runs as a separate test case.","13254","DDT: Create multiple expenses from JSON data","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","27","API_03: Data Driven Testing (Multiple Items)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Negative test: System accepts -50 as valid amount - this is a bug. Expected: validation alert. Actual: expense is created.","8237","BUG: Verify negative amount input is accepted (should be blocked)","tests.web","2026-05-10","skipped","2026-05-10","TestWeb","test_web_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5282","Create multiple expenses via DDT","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Data-Driven Testing: parametrized test that creates 4 different expenses from external JSON file. Each combination runs as a separate test case.","28631","DDT: Create multiple expenses from JSON data","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Updates an existing expense via the API and verifies that the change is saved in SQLite. Verifies that the API update is synchronized with the data layer.","6322","E2E_03: API → DB | PUT updates record in SQLite","tests.api","2026-05-10","passed","2026-05-10","TestE2EApiDb","test_e2e_api_db_expense","",""
"Verifies the app correctly handles and displays a very large monetary value. Tests for potential overflow, formatting issues, or rejection.","32191","Boundary: Create expense with very large amount (9,999,999.99)","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","25","API_03: Data Driven Testing (Multiple Items)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Negative test: Tries to add an expense without entering an amount and verifies it isn't added","5261","Verify creation of expense with empty amount is prevented","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Creates an output via the API and verifies that the record appeared in SQLite without writing directly to the DB. Verifies that the API is actually writing to the data layer.","4166","E2E_01: API → DB | POST creates record in SQLite","tests.api","2026-05-10","passed","2026-05-10","TestE2EApiDb","test_e2e_api_db_expense","",""
"Update the amount of an existing expense from 150 to 200 using PUT","15","API_05: Update Expense (PUT)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Boundary test: Adds an expense with a 100-character description to ensure the UI handles it correctly","5274","Verify creation of expense with a very long description","tests.web","2026-05-10","skipped","2026-05-10","TestWeb","test_web_expense","",""
"Creates an expense with name, amount, and category from JSON data. Verifies the expense name appears in the list after submission.","12629","Positive: Create a single expense and verify it appears","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Data-Driven Testing: parametrized test that creates 4 different expenses from external JSON file. Each combination runs as a separate test case.","13352","DDT: Create multiple expenses from JSON data","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"This test uses Data-Driven Testing to add several expenses, reading from an external CSV file","5262","Create multiple expenses via DDT","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Deletes an expense via the API and verifies that the record is removed from SQLite. Verifies that the API delete is synchronized with the data layer.","4165","E2E_04: API → DB | DELETE removes record from SQLite","tests.api","2026-05-10","passed","2026-05-10","TestE2EApiDb","test_e2e_api_db_expense","",""
"Create multiple expenses using data driven testing with JSON file filtered by test_id.","44","API_03: Data Driven Testing (Multiple Items)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Validates that the 5 core UI elements (name, amount, date, category, add button) are visible on app launch. A blocker-level test — if this fails, nothing else works.","2067","Smoke: Verify all main screen UI elements are displayed","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Tests input handling with special characters (!@#$%^&*()) in the expense name. Verifies whether the app accepts, sanitizes, or rejects the input.","26483","Negative: Create expense with special characters in name","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Tests the app's handling of a very long expense name (100 characters). Verifies the name is accepted and at least partially displayed.","27466","Boundary: Create expense with 100-character name","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Delete an expense using DELETE on its ID","14","API_06: Delete Expense","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"Attempts to submit the form without filling any fields. Verifies the app either blocks submission or does not add a blank entry.","14427","Negative: Submit expense with empty name and amount fields","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"Verifies the app's behavior when a negative monetary value is entered. In a financial app, negative amounts should be blocked or handled gracefully.","14063","Negative: Attempt to create expense with negative amount (-50)","tests.mobile","2026-05-10","passed","2026-05-10","TestMobileExpense","test_mobile_expense","",""
"This test verifies that a new expense can be added to the tracker","5682","Create a new expense via Web UI","tests.web","2026-05-10","passed","2026-05-10","TestWeb","test_web_expense","",""
"Attempt to delete an ID that does not exist in the system (404)","11","API_08: Negative - Delete Invalid ID","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
"GET all expenses and verifying receipt of a proper data set","15","API_01: Get All Expenses (Status 200)","tests.api","2026-05-10","passed","2026-05-10","TestAPI","test_api_expense","",""
